0	ojala obliguen a piñera a cerrar punta peuco es tan hoc mi reina
1	piñera para crear base de apoyo moderada a su gobierno gobernabilidad democratica  debe dar señales fuertes hacia la dc y sectores liberales
2	cnnchile memoria  adimark piñera termina su gobierno con un  de aprobacionbachelet con  
3	ppk y piñera en privado habrian conversado algo asi ppkno te preocupes sebas q pase todo este circo de mi vacancia y reiniciamos negocios como antes  piñerapero ppk  hay q reunirnos tambien con tu vice por si las moscas ppknonono y piñera ji ji jiqhuon eres
4	bachelet entregara el gobierno de chile a piñera
5	bloq pal piñera
6	elnacionalweb pues esa precion llevara a piñera a un estado de sequedad
7	podra piñera convertir a chile en un pais del primer mundo
8	marcemorenomend por todo esto gracias pdte piñera el guiña
9	ja ja ja te repito yo no apoyo a ladrones como piera y tampoco a traidores como la dc ppd pc ps nm y la concertacin eso no mas
10	cierrepuntapeuco consagra tanto a mb broche de oro politico a su gobierno como a piñera piñera romperia histo httpstcoienkuzbzy
11	un millar de invitados estaran presentes en la investidura presidencial de piñera en chile
12	macri asistira este domingo a la asuncion del presidente de chile sebastian piñera
13	ppk y piñera se reunieron en academia diplomatica de chile
14	como seria si evo mañana se pone jugosofuera de control  y piñera no pueda asumir puta que seria lindo
15	fracaso la campaña de el mercurio para impedir acuerdo de la centroizquierda en el parlamento mañana piñera asumira escoltado por dos socialistas en las presidencias del senado y la camara de diputados
16	macri viajara a chile para la asuncion de sebastian piñerael presidente argentino mantendra una reunion bilateral con su par trasandino y tambien tendra una cumbre con el mandatario brasileño michel temer
17	no quiero que sea mañana  piñera ctm
18	la presidenta saliente de chile michelle bachelet y su sucesor sebastian piñera multiplicaron hoy sus actividades concentradas en reuniones con gobernantes e invitados extranjeros a participar este domingo en la ceremonia de cambio de mando en el pais austral
19	el presidente boliviano evo morales llego hoy a chile para asistir mañana a la juramentacion del presidente electo chileno sebastian piñera
20	coincido piñera no se hara problema le importa mas su imagen y quedar bien con dios y con el diablo era mal menor
21	ppk y piñera se reunieron en academia diplomatica de chile
22	mauricio macri viaja a chile para asistir a la asuncion de piñera  el presidente mantendra una reunion bilateral con el flamante mandatario chileno y con su colega de brasil michel temer
23	piñera culiao no te queremossssss 
24	a un dia de tomar el mando sebastian piñera le viene un infarto fulminante y muere asume el futuro presidente del senado
25	la foto oficial del presidente piñera pudo haber sido un poco mas solemne
26	opinion  podra piñera convertir a chile en un pais del primer mundo httpstcooxdxgptfa httpstcoipivsnex
27	como primer acto oficial piñera ira a un centro del sename en los  años de su gobierno anterior ni se acordo de los niños abusados
28	sebastian piñera y donald trump podrian encontrarse en la cumbre de las americas en lima
29	estoyconpinera sebastianpinera sebastian piñera juntos  cambia
30	el nuevo gobierno de sebastian piñera tiene prisa por tramitar la ley de migracion
31	video  cecilia morel dice que piñera no le pega codazos y da particular explicacion
32	reunion con juan carlos i y otras autoridades revisa las imagenes de las audiencias oficiales de sebastian piñera
33	ahollstein imbecil facho excelente presidenta de chile bachelet ahora estamos de duelo chile con piñera retrocede
34	sename la primera actividad como presidente de sebastian piñera
35	probablemente votaste por piñera o no votaste en las ultimas elecciones gracias gente como tu ahora nos mamamos  años de derecha
36	tras el banderazo evo va a la asuncion de piñera para ofrecerle un nuevo tiempo de soluciones
37	piñera culiao
38	cambiodemando alli baba piñera regresa con su sequito de imputados
39	michelle bachelet termina su mandato y empieza el gobierno de sebastian piñeraeste domingo sera el acto de asuncio httpstcodbzdqer
40	siento que cada vez que enfocan a piñera las arrugas me tratan de decir algo estilo el exorcista
41	cuando un gob dice a los  dias que ha hecho mas que en  años ahi empezo quiebreespero que piñera haya madurado
42	csm pensar que mañana asume el wn de piñera 
43	que bachelet firmo cierre de puntapeuco para manchar el inicio del gobierno de piñeraejem que se entendera por manchar salpicar sera po como que el sr anda embarrado hace rato
44	maggiaustral belaanjali jessygamboa kawaiiimin jajajajja si fuera bot no hubiera votado en las elecciones por algo gano piñera
45	dicen que cuando llego el ex rey de españa juan carlos piñera lo saludo como esta mi rey o sea bien amariconao jajajaa
46	macri estara este domingo en la asuncion de piñera
47	debo reconocer que este lunes sera mas dificil empezarlo con piñera como presidente
48	citrusnuances cuando gano piñera en el  un grupo de cuicosas llegaron celebrando a la moneda preguntando
49	si bachelet esta cerrando pta peuco de esta forma apostaria q esta conversado y acordado con piñera
50	cierrepuntapeuco lo que entendi va a ser piñera a quien le toque ccerrar punta p  jugada macabra
51	presidente moreno mantuvo reunion con sebastian piñera
52	piñera afirma que seguira luchando por restablecer la democracia en venezuela
53	pueden creer que soy mutual de ski victon sf piñera y peña nieto omg
54	infh crtst  piñera y bachelet multiplican sus actividades en la vispera del cambio de mando
55	marchademarzo contra piñera
56	y bien por el sename tonda ha trabajado en distintas areas y siendo mas bien de izquierda siempre ha contado con la confianza de piñera
57	me parece gran señal de sebastian piñera en iniciar sus actividades como presidente en el sename ltima prioridad
58	sebastian piñera promete no bajar la presion sobre venezuela estoy convencido de que en venezuela no hay democracia no hay estado de derecho no se respetan los derechos humanos y se esta viviendo una profunda crisis politica economica y social
59	que buen himno el de los argentinos por mauricio macri mm lpqtp hay que inventar uno para piñera
60	cuando piñera cerro el penal cordillera se suicido un weon si ahora se suicida otro  empate
61	bachelet solo dejo un decreto del cierre punta peuco  pero el nuevo gobierno de piñera tiene la ultima palabra si se cierra o no  
62	acabo de ver que piñera ocupa un beauty blender suddenly ya no me gusta el maquillaje
63	y que lo tenga que ejecutar piñera jajajaja queen total 
64	con la llegada de piñera tiempos oscuros se avecinan
65	menos mal el precidente electo es sebastian piera porke grasias a el abra mas travajo y menos ahitianos viva chile
66	piñera presenta a su gabinete 
67	ojala piñera no pueda gobernar los  anos completos
68	pucha imposible asistir mañana salgo tempranisimo a valpo aplaudir y vitorear  a presidente piera
69	la intensa jornada laboral de sebastian piñera en la academia diplomatica
70	macri se reunira con piñera y temer en marco de investidura enchile
71	justo ahora que voy a empezar a tirar mas chuchas pa piñera twitter le pone color esta wea es culpa de piñera ctmmmmm ah adjkridk
72	cotchino es piñera les dije yo
73	piñera no va a cerrar punta peuco tiene acciones alli cierrepuntapeuco
74	ppk viajo chile para la toma de mando de piñera 
75	una sucia jugada de la chanchi  dejar la ejecucion del cierre a  piñera porque ella ya no puede  asi es esta sucia corrupta 
76	piñera llego a cerro castillo en las horas previas al cambio de mando
77	piñera y bachelet multiplican sus actividades en la vispera del cambio de mando  el rey emerito de españa
78	piñera enfrentara desafios sociales a la vuelta del gobierno de chile
79	estaba super confundida no sabia por que sebastian piñera salia en mi tl y luego note que era la anto dhfujkasm
80	eldestapeweb sebastian piñera lpqtp splpqtp mmlpqtp
81	piñera recibira por segunda vez la banda presidencial de manos de bachelet
82	internacionales  sebastian piñera asumira por segunda ocasion la presidencia de chile
83	cuanto tiempo esta mujer se la jugo por los mineros de aysen igual que piñera por los  
84	ahora cambiodemando presi piñera llegando a cerrocastillo en helicoptero 
85	piñeratemertabaresmacritrimp
86	presidente piñera con todo el respeto que se merece espero que lleve a juicio a bachelet por todo el daño causado al pais nuestra bandera y la confianza que tuvimos en darle nuestro voto este por sobre su amistad con bachelet hoy esta chile por sobre la amistad
87	piñera lo que quiere es figurar en el club de derechistas supuestamente progresistas de suramerica como macri y temer creen que preocupandose por venezuela los hara tener una imagen democratica estan muy lejos de serlo son unos titeres de eeuu
88	san sebastian piñera ruega por tu pueblo chileno un excelente presidente que gobernara para los ricos un magnifico neoliberal y capitalistadios los bendiga
89	tiempos mejorespara la familia piñera chadwick
90	niun brillo piñera oe ziiii
91	que prenda la tele y aparezca piñera por la ctm
92	dicho esto piñera debe tirar atras el decreto de cierrepuntapeuco si bachelet hubiese querido hacer esto bien haria todo el proceso dentro de su gobierno
93	piñera apunta a la clase media para proyectar a la derecha en chilesu segundo gobierno que arranca el domingo httpstcoszebwnxgg
94	la mision de juan carlos i en el nuevo mandato de sebastian piñera en chile 
95	jaimeantonio kenacats t vas a querer enterrar cuando piñera el lunes  firme el cierre de pta peuco
96	no me parece piñera ha dicho que le parece bien mantener esa carcel segregada por lo tanto no pagaria ningun costo con dejar de cumplir ese eventual cierre si bachelet lo decreto ella debio ejecutarlo
97	previo al cambiodemando se reunieron piñera y ppkque estaran cocinando estos personajes que tienen el curriculum mas negro que su propia alma
98	se dan cuenta que mañana dejamos de ser el mejor pais de chile porque la soa bachele se va y entra piñera a la presidencia
99	asi era de sucia la cerdalet  dejar en manos de piñera la ejecucion del cierre para comenzar ensuciando al inicio el mandato al nuevo gobierno  bachelet y cia deben ser los proximos habitantes de pp
100	ven que corrupcion chile fomenta las fake news ayudaron a ganar al sr piñera
101	michelle bachelet termina su mandato y empieza el gobierno de sebastian piñera
102	soy mujer feliz y le deseo al presidente sebastin piera y a cecilia morel lo mejor para el da domingo un maravilloso da y toda la esperanza para un futuro mejor para los chilenos
103	ahoraescuchas columba by banda la piñera  quieres escucharla en vivo clic aqui
104	que da gusto ver al presidente piñera en reuniones bilaterales con gente decente ningun maduro morales noriega castro correa
105	marcelillavn puros xx con numeros  los bots de piñera
106	cambiocl memoria  adimark piñera termina su gobierno con un  de aprobacion bachelet con  
107	entre que twitter esta cancelando cuentas y piñera va a tomar el mando yo mejor renuncio a la vida
108	reunion con juan carlos i y otras autoridades revisa las imagenes de las audiencias oficiales de sebastian piñera
109	seguro que pedira reunion con piñera y le dira ya pues piñera no seas malito llama a la prensa y deciles que te sorprende el banderazo que estas asustado que vas a negociar no me cagues la peguita no seas malo hermanito bien creidos estan mis llunkus
110	piñera es un in somnia xkjskskfj
111	acatapluto rule of law como actuarias si piñera prohibiera la entrada a un parlamentario cubano
112	piñera llego a cerro castillo en las horas previas al cambio de mando 
113	kuczynski califico de muy positiva reunion con piñera en chile 
114	ya se sabe lo de piñera sera lo mismo aumentar su httppatrimoniola  pregunta  es q haran periodistas como httpudse  quedaran callados de nuevo mientras el ministro d interior pone a sus hijos en el gob o mientras ministros reciben plata de empresarios
115	cuando creyo que piñera perdia dijo que la udi ya no le acomodaba cuando gano volvio a estar contenta en ese lado no la reeligieron empezo a chuparle las patas a la tv no me extrañaria que quiera hacer un programa de ayuda social solo tiene que maquillarse de buena y humana
116	fotos la movida agenda de sebastian piñera a un dia del cambio de mando
117	asi sera la primera actividad de sebastian piñera como presidente
118	ahora noticias sobre bachelet punta peuco piñera sebastian presidente man
119	que huea la mano de piñera hueooon
120	presidente moreno mantuvo reunion con sebastian piñera
121	el lunes el gran presidente sebastian piñera va entrar a la moneda y dira buenos das guardia y la guardia presidencial respondera buenos das mi presidente  ah los viejos tiempos de mi general pinochet  digan lo que me digan no me interesa
122	los retos que enfrentara sebastian piñera en su nueva etapa como presidente de chile 
123	yo vote por piñera y fui critico en tweter de este gbno pero no puede ser que todavia no asumen y ya estan apitutando a los hijos no se si tienen meritos pero basta de  aprendizaje no  me gusta
124	bien que la guatona corrupta bachelet cierre punta peuco ahora que mañana piñera tome su a medida indultar a todos los presos politicos militares encarcelados injustamente por la asquerosa vendeta marxista ayudados por jueces zurdos corruptos y prevaricadores
125	no me pone triste que se vaya bachelet me pone en alerta el regreso de piñera
126	abogado de los reos de punta peuco si el penal se llega a cerrar piñera lo va a reabrir
127	que piñera y su gentehagan un sahumerio y ventilen la moneda para q salga el olor a rata q dejaran los zurdosno vaya ser cosa q se peguen el antaplop
128	ctm piñera qlio
129	lmrendon fbaezurbina bachelet no se atrevio a cerrar punta peuco y piñera no lo cerrara
130	la bachelet no merece respeto elegida por una minoria igual que el ladron de piñera el sistema politico postdictadura no esta funcionando
131	el abogado de los reos de punta peuco afirmo lo siguiente si el penal lo cierran ahora piera lo volvera a abrir
132	angolmamalcahue aleriquelme hqgatica tambien eres del grupo que considera victimas a los violadores de ddhh ya suerte con piñera 
133	bullatop jajaka esta como el monumento del f del primer gobierno de piñera q no se cuanto fue q salio y despues se vino abajo
134	asume piñera y con el se sumaran todos los intelectuales de derecha para pensar el pais que queremos henry boys checho hirane melnick kaiser y marinovic
135	cbellolio es esa misma gente retrasada que sabiendo que piñera es un sinverguenza de siete suelas igual no mas voto por el
136	america latina los retos y logros que piñera hereda de bachelet en sus palabras
137	la doctora gloria burgos medico de la chile asume como subse de redes asistenciales de sebastian piñera cooperativa en reemplazo de toso
138	compartamos este hermoso momento en que un chileno bien nacido le grita ladron a piñera 
139	piñera reajusta el sueldo minimo en  pesospero que derrocheeste gobierno de ineptos quiere que los trabajadores sigan pobres y endeudados para el resto de sus vidas vivir con  es insostenible un minimo de  mil seria algo mas digno
140	se acuerdan de esta propaganda de piñera que decia agarrense de las manos que vienen tiempos mejoreshoy ingreso piñera al congreso el proyecto de reajuste de salario minimo por la suma de  que diran los que votaron por piñera con esta miseria de reajuste
141	empresa del hijo de andres chadwick piñera ministro del interior se adjudico una licitacion en el municipio de vitacura por mas de  millones y sin cumplir con las bases establecidas andres junior es un apitutado e indecente que esta acostumbrado a mentir
142	por la reconchetumare se dan cuenta de que la sm nos cancel un concierto o sea nos estaba dando l oportunidad de nuestras vidas y nos la quit de nuestras manos sm reculia y la zorra perra maraca y piera culiao dnde estn los tiempos mejores porque no los veo todo es tu culpa
143	piñera acaba de limitar el nmero de licencias a  al mes por medico  protege a las isapres sac todos los sitios del gobierno relacionados a la diversidad sexualpuso fin a los sindicatosy suma y sigue
144	me gustaria invitar a cantantes actores trabajadores cesantes abuelos niños y sobre todo politicos para que se sumen al paromarcha del  y asi demuestren que estan contra piñera con la gente y sobre todo para que demuestren que en chile si existe oposicion
145	culpar al gobierno de piñera de la quiebra de fideos suazo como lo hace el alcade de curico es de mala leche la empresa venia mal desde por lo menos  años
146	comunicado  miren fachos y derechistas culiaos si me buscan en face para amenasarme por lo menos pongan fotos los chuchasumadres no les tengo ni cosquillas de miedo si les molesta como trato a su presidente desde aca les digopiñera culiao ladron mentiroso
147	te deun  espero que este año hagan lo mismo con piñera trataron a la presidenta de asesina que hizo piñera dar la libertad  a genocidas piñera es un encubridor de torturadores asesinos o los evangelicos se haran los weones
148	algo busca piñera con el termino de la ley reservada del cobre l no da puntada sin hilo
149	con que derecho y con que moral el rasca piñera limita el numero de licencias de un medico esto solo lo concibe un cerebro atrofiado si le aguantamos esta quiere decir que nos hemos convertidos en hongos
150	piñera no levantara la economia porque hace mas de lo mismo la economia chilena viene cayendo por la falta de diversificacion productiva por la desindustrializacion por la concentracion de la riqueza por la desigualdad por la falta de competencia por la falta de innovacion
151	ya weones yo creo que estamos todos choriados con este gobierno de mierdaya bastaaaa  meses y nunca se habia visto tanta cagada juntacuando hacemos una marcha nacional para que se vaya piñera twitteros influyentes tienen una mision
152	una gran diferencia entre este gobierno y el anterior del presidente piñera es que el actual es capaz de reconocer sus errores rapidamente pasar el trago amargo y rectificar no veo que tenga persistencia en el error a veces en politica se tiende a defender lo indefendible
153	se pronunciara  el gobierno de chile contra el atentado al presidente maduro en venezuelaque opina piñera
154	toda la izq habla y blasfema contra la administracion del gobierno de piñera que esta mal lo que hace y no hace pero ninguno de ellos habla o explica que paso con mm  que se destinaron para la subsecretaria de seguridad desde marzo  hasta diciembre   mmus
155	se acuerdan cuando la izquierda terminado el er gob de piñera dijeron que la derecha no volveria a gobernar en  años y que si lo hacia seria con otro golpe de estado bueno les cuento que volvimos despues de  años y ganando una eleccion por paliza
156	el presidente electo de chile sebastian piñera afirmo que una vez que tome su segundo cargo de cuatro años no abandonara la lucha por la democracia de venezuela
157	quien en la serena pah tomarse sus copetes en la noche y desde ya empezar a celebrar el ingreso a la moneda del pdte piñera 
158	o sea ahora piñera tendra que rescatar los restos de los mineros de aysen que bachelet dejo enterrados en la mina 
159	me llamaron para trabajar mañana en el mall por el dia pa hacer un reemplazo mañana asume piñera me ofrecen trabajo coincidencia no lo creooooooograsias precidente piera x travajo consedido juzto k lo nesesitaba
160	faltan unas horas para empezar a recuperar chile piñera un presidente a la altura de lo q necesita el pais
161	por lo mismo  una mujer que corre a saltitos  a abrazar a fidel castro con un brazo y con la orra mano bajandose los churrines no tiene ningun peso moral para cerrar punta peuco piñera debiese mandarlos a la casa a todos esos ancianos por motivos humanitarios 
162	sebastian piñera yo estoy convencido de que en venezuela no hay democracia ja ja ja ja lo dice otro perrito que mueve la cola y le mete el jocico en el rabo al imperio
163	no es que piñera sea un modelo de las relaciones entre politica y poder economico pero que le explique como siendo dueño de lan debio renunciar a su empresa y sus utilidades fueron a un fondo de fideicomiso ppk siguio en sus directorios cobraba sus utilidades en su banquito 
164	el cierrepuntapeuco a un dia de dejar el gobierno nos muestra la cobardia de la bachelet dejandole un tremendo problema a piñera desde un inicio y ella yendose dandose un gustito personal esto es de una mezquindad digna de esta izquierda resentida fracasada e irresponsable
165	el gobierno de piñera no va a hacer milagros simplemente sera un gobierno de buena gestion de sentido comun y de ejemplo de democracia moderna al fin mañana se acaban  años de retroceso
166	el mandato de piñera estara marcado por un plan estrategico ambicioso plantar cara a la izquierda en lo que esta ha considerado su territorio exclusivo la preocupacion particular por los sectores vulnerables
167	si bachelet hubiese querido cerrar punta peuco lo habria hecho cualquier cosa que haga ahora se trata de poner a piñera en aprietos no de responder seriamente a las demandas de las victimas
168	mario desbordes chile necesita urgente que sebastian piñera tome las riendas de este pais porque nos entregan un pais aporreado
169	que dira la historia de mbachelet una gran mujer que realizo grandes cambios en bien de su pais y de piñera  un ladron de bancos electo dos veces presidente de chile que perpetro delitos junto a su familia y banda en su beneficio y perjuicio de su pais
170	la presidenta cumplio su ultimo dia habil en el palacio de la moneda este domingo le entregara el poder a sebastian piñera
171	que horrible se nos viene piñera cecilia perez chadwick bellolio los kast karla rubilar la vieja cura melero el rojo edwards y villegas hablando hueas todos los dias
172	bachelet le enseña a piñera la forma correcta como se debe entregar un gobierno con planificacion en forma oportuna y transparente facilitando todo tipo de informacion en forma publica  no es necesario borrar informacion de computadores y ocultar informacion como delincuente
173	tomas muller intimo amigo de piñera  es el socio principal de inversiones altis quienes administrara el fideicomiso ciegode piñera untongo mas que se lo compran todos los fachos pobres
174	señor piñera renuncie renuncie y entreguese a la justicia y haga renunciar a su familia tambien y devuelva el auto la tele y la plata del banco de talca tambien so sinvergenza hagalo por 
175	buenos dias menos  para piñera secuaces jueces fachos pobres
176	los chilenos no podemos seguir aceptando que la corrupcion de los gobiernos de izquierda sigan explicandose como simples errores  la justicia debe investigar y el gobierno del presidente piñera tiene la obligacion de denunciar estos delitos
177	que a  meses de gobierno haya tal nivel de decepcion ciudadana incluso entre quienes votaron por piñera es ineditoy preocupante porque se puede entrar en una espiral aun mas populista e irresponsable para revertir la caida mala combinacion la encuestocracia y la soberbia
178	algunos me preguntan si es dificil ser gay en cauquenes y yo les respondo siempre esto en mi pueblo hay un puente que se llama presidente sebastian piñera y concecta con la poblacion augusto pinochet yo creo que esto lo deja bastante claro
179	es peligroso dejar en manos de bracitos cortos el cobre poner ojo mucho ojo los que deben fiscalizar pues haganlo letra chica piñera y la ley reservada del cobre
180	camionero de linares alerta piñera te manda a decir ahora metete tu caga de camion por el culo
181	piñera no da puntada sin hilo cual es la trampa ahora va por el cobre 
182	el fracasado ex candidato alejandro guiller ahora se da el lujo de criticar al presidente piñera olvida este sujeto que bachelet dejo al pais casi quebrado y con la deuda externa mas grande de la historia y q hay q pagarla pero q sabe un marxista de eso
183	piñera sera responsable de lo que pase el creo falsas expectativas mintio y ahora no puede cumplir rodeado de amigos ineptos el  la calle dira lo que tiene que decir
184	que piñera meta manos en el cobre es muy peligroso eso de la derogacion de la ley reservada del cobre me huele a manitos largas letra chica y mil hueas no da puntada sin hilo el gato de campo
185	0
186	1
187	1
188	0
189	1
190	0
191	0
192	1
193	0
194	0
195	1
196	1
197	1
198	0
199	1
200	0
201	1
202	0
203	1
204	1
205	0
206	0
207	1
208	0
209	1
210	1
211	1
212	1
213	0
214	0
215	1
216	1
217	1
218	1
219	1
220	0
221	1
222	0
223	1
224	1
225	0
226	1
227	1
228	1
229	0
230	0
231	1
232	1
233	0
234	0
235	0
236	0
237	0
238	0
239	1
240	0
241	0
242	1
243	1
244	0
245	0
246	1
247	0
248	0
249	1
250	0
251	1
252	1
253	1
254	0
255	1
256	0
257	0
258	0
259	1
260	1
261	1
262	1
263	1
264	0
265	0
266	1
267	1
268	0
269	1
270	0
271	1
272	1
273	1
274	1
275	0
276	0
277	1
278	1
279	1
280	0
281	0
282	1
283	1
284	0
285	0
286	1
287	1
288	0
289	1
290	0
291	1
292	1
293	1
294	0
295	0
296	0
297	1
298	1
299	1
300	0
301	1
302	1
303	1
304	0
305	1
306	1
307	1
308	1
309	1
310	1
311	0
312	0
313	0
314	1
315	1
316	0
317	0
318	1
319	1
320	0
321	1
322	1
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	1
331	0
332	0
333	0
334	0
335	0
336	1
337	1
338	1
339	1
340	1
341	1
342	1
343	0
344	1
345	1
346	0
347	0
348	0
349	0
350	1
351	1
352	0
353	1
354	0
355	1
356	0
357	1
358	1
359	1
360	0
361	1
362	1
363	0
364	0
365	0
366	0
367	0
368	0
369	0
